timeStamp,resourceId,operationName,category,properties.instanceId,properties.clientIp,properties.requestUri,properties.ruleSetType,properties.ruleSetVersion,properties.ruleId,properties.ruleGroup,properties.message,properties.action,properties.hostname,properties.transactionId,properties.policyId,properties.policyScope,properties.policyScopeName,properties.engine,properties.details.message,properties.details.data,properties.details.file,properties.details.line
2026-07-10T15:31:13.043+08:00,/SUBSCRIPTIONS/88E39F7D-09DC-4B59-9491-B1CBF00279FB/RESOURCEGROUPS/RG-DAP-PRD-INFRA-N3-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-DAP-PRD-N3-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,appgw_0,36.158.231.53,/.env.example,Microsoft_DefaultRuleSet,2.1,949110,BLOCKING-EVALUATION,Inbound Anomaly Score Exceeded (Total Score: 7),Blocked,purview.novonordiskchina.com.cn,f2fc2e18d0fd4787b425daab1d2354d2,75#_subscriptions_88e39f7d-09dc-4b59-9491-b1cbf00279fb_resourceGroups_RG-DAP-PRD-Infra-N3-01_providers_Microsoft.Network_ApplicationGatewayWebApplicationFirewallPolicies_WAF-DAP-PRD-N3-01,Global,Global,Azwaf,Greater and Equal to Tx:inbound_anomaly_score_threshold at TX:anomaly_score.,,BLOCKING-EVALUATION.conf,36
2026-07-10T15:31:13.044+08:00,/SUBSCRIPTIONS/57EB041C-8BF8-487B-A562-F9ACFFC16752/RESOURCEGROUPS/RG-NOVOCAREOBESITY-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NOVOCAREOBESITY-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,appgw_3,59.63.226.8,/external/open-api/external/v1/wechatMini/message/wx98f3f60b481fdab7?signature=b8363bdf8281efe0795d67d8c9cbf5e1138412f8&timestamp=1783046240&nonce=579415879&openid=oVmQa7UINaTq9bReHRfGS9LeLCO4&encrypt_type=aes&msg_signature=8928933a61d1c328ff3d2999b58e81a42acf149f?signature=b8363bdf8281efe0795d67d8c9cbf5e1138412f8&timestamp=1783046240&nonce=579415879&openid=oVmQa7UINaTq9bReHRfGS9LeLCO4&encrypt_type=aes&msg_signature=8928933a61d1c328ff3d2999b58e81a42acf149f,OWASP CRS,3.2,949110,REQUEST-949-BLOCKING-EVALUATION,Inbound Anomaly Score Exceeded (Total Score: 5),Blocked,api-obesity.novocare.com.cn,82812a5c91084db2bd24d9f7a8a8cd92,82#_subscriptions_57eb041c-8bf8-487b-a562-f9acffc16752_resourceGroups_RG-NovocareObesity-PRD-Infra-01_providers_Microsoft.Network_ApplicationGatewayWebApplicationFirewallPolicies_WAF-NovocareObesity-PRD-01,Global,Global,Azwaf,Greater and Equal to Tx:inbound_anomaly_score_threshold at TX:anomaly_score.,,REQUEST-949-BLOCKING-EVALUATION.conf,79
2026-07-10T15:31:13.044+08:00,/SUBSCRIPTIONS/88E39F7D-09DC-4B59-9491-B1CBF00279FB/RESOURCEGROUPS/RG-DAP-PRD-INFRA-N3-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-DAP-PRD-N3-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,appgw_0,36.158.231.53,/.env.local,Microsoft_DefaultRuleSet,2.1,949110,BLOCKING-EVALUATION,Inbound Anomaly Score Exceeded (Total Score: 7),Blocked,purview.novonordiskchina.com.cn,48ba8d697d9446b4ac1bfe015455a4ea,75#_subscriptions_88e39f7d-09dc-4b59-9491-b1cbf00279fb_resourceGroups_RG-DAP-PRD-Infra-N3-01_providers_Microsoft.Network_ApplicationGatewayWebApplicationFirewallPolicies_WAF-DAP-PRD-N3-01,Global,Global,Azwaf,Greater and Equal to Tx:inbound_anomaly_score_threshold at TX:anomaly_score.,,BLOCKING-EVALUATION.conf,36
2026-07-10T15:31:13.044+08:00,/SUBSCRIPTIONS/57EB041C-8BF8-487B-A562-F9ACFFC16752/RESOURCEGROUPS/RG-NOVOCAREOBESITY-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NOVOCAREOBESITY-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,appgw_3,124.238.251.133,/external/open-api/external/v1/wechatMini/message/wx98f3f60b481fdab7?signature=07e1f5c6bd66263e5c906cdc1d0d7b0c4b446cc9&timestamp=1783046234&nonce=1347758690&openid=oVmQa7Qt3POItwdLM5ghA2vyfQxQ&encrypt_type=aes&msg_signature=c007ee2565f9e345b8f2b1b891dce02f09996f1a?signature=07e1f5c6bd66263e5c906cdc1d0d7b0c4b446cc9&timestamp=1783046234&nonce=1347758690&openid=oVmQa7Qt3POItwdLM5ghA2vyfQxQ&encrypt_type=aes&msg_signature=c007ee2565f9e345b8f2b1b891dce02f09996f1a,OWASP CRS,3.2,949110,REQUEST-949-BLOCKING-EVALUATION,Inbound Anomaly Score Exceeded (Total Score: 5),Blocked,api-obesity.novocare.com.cn,ab9fbffa61274e62a65f22ab87f0ff57,82#_subscriptions_57eb041c-8bf8-487b-a562-f9acffc16752_resourceGroups_RG-NovocareObesity-PRD-Infra-01_providers_Microsoft.Network_ApplicationGatewayWebApplicationFirewallPolicies_WAF-NovocareObesity-PRD-01,Global,Global,Azwaf,Greater and Equal to Tx:inbound_anomaly_score_threshold at TX:anomaly_score.,,REQUEST-949-BLOCKING-EVALUATION.conf,79
2026-07-10T15:31:13.044+08:00,/SUBSCRIPTIONS/88E39F7D-09DC-4B59-9491-B1CBF00279FB/RESOURCEGROUPS/RG-DAP-PRD-INFRA-N3-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-DAP-PRD-N3-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,appgw_0,36.158.231.53,/.env.production.local,Microsoft_DefaultRuleSet,2.1,949110,BLOCKING-EVALUATION,Inbound Anomaly Score Exceeded (Total Score: 7),Blocked,purview.novonordiskchina.com.cn,6945e6b4b3a647d99df832d0523d756f,75#_subscriptions_88e39f7d-09dc-4b59-9491-b1cbf00279fb_resourceGroups_RG-DAP-PRD-Infra-N3-01_providers_Microsoft.Network_ApplicationGatewayWebApplicationFirewallPolicies_WAF-DAP-PRD-N3-01,Global,Global,Azwaf,Greater and Equal to Tx:inbound_anomaly_score_threshold at TX:anomaly_score.,,BLOCKING-EVALUATION.conf,36
2026-07-10T15:31:13.044+08:00,/SUBSCRIPTIONS/57EB041C-8BF8-487B-A562-F9ACFFC16752/RESOURCEGROUPS/RG-NOVOCAREOBESITY-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NOVOCAREOBESITY-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,appgw_3,124.238.251.132,/external/open-api/external/v1/wechatMini/message/wx98f3f60b481fdab7?signature=1e1f869a0495151afca1e234bcde47d0ac65e537&timestamp=1783046216&nonce=1931590628&openid=oVmQa7VLdLOg6YVe-2YPf9nQqO_g&encrypt_type=aes&msg_signature=86fb522fd25338b79845ffc1958eb7e2f9e9c116?signature=1e1f869a0495151afca1e234bcde47d0ac65e537&timestamp=1783046216&nonce=1931590628&openid=oVmQa7VLdLOg6YVe-2YPf9nQqO_g&encrypt_type=aes&msg_signature=86fb522fd25338b79845ffc1958eb7e2f9e9c116,OWASP CRS,3.2,949110,REQUEST-949-BLOCKING-EVALUATION,Inbound Anomaly Score Exceeded (Total Score: 5),Blocked,api-obesity.novocare.com.cn,48ce2c598ef042c39d7c07416a69ab68,82#_subscriptions_57eb041c-8bf8-487b-a562-f9acffc16752_resourceGroups_RG-NovocareObesity-PRD-Infra-01_providers_Microsoft.Network_ApplicationGatewayWebApplicationFirewallPolicies_WAF-NovocareObesity-PRD-01,Global,Global,Azwaf,Greater and Equal to Tx:inbound_anomaly_score_threshold at TX:anomaly_score.,,REQUEST-949-BLOCKING-EVALUATION.conf,79
2026-07-10T15:31:13.044+08:00,/SUBSCRIPTIONS/88E39F7D-09DC-4B59-9491-B1CBF00279FB/RESOURCEGROUPS/RG-DAP-PRD-INFRA-N3-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-DAP-PRD-N3-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,appgw_0,124.238.251.134,/node/.env_example,Microsoft_DefaultRuleSet,2.1,949110,BLOCKING-EVALUATION,Inbound Anomaly Score Exceeded (Total Score: 7),Blocked,purview.novonordiskchina.com.cn,2923ceed75aa4b8cb0dba3dd5cd8a3f9,75#_subscriptions_88e39f7d-09dc-4b59-9491-b1cbf00279fb_resourceGroups_RG-DAP-PRD-Infra-N3-01_providers_Microsoft.Network_ApplicationGatewayWebApplicationFirewallPolicies_WAF-DAP-PRD-N3-01,Global,Global,Azwaf,Greater and Equal to Tx:inbound_anomaly_score_threshold at TX:anomaly_score.,,BLOCKING-EVALUATION.conf,36
2026-07-10T15:31:13.044+08:00,/SUBSCRIPTIONS/57EB041C-8BF8-487B-A562-F9ACFFC16752/RESOURCEGROUPS/RG-NOVOCAREOBESITY-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NOVOCAREOBESITY-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,appgw_3,124.238.251.132,/external/open-api/external/v1/wechatMini/message/wx98f3f60b481fdab7?signature=5fcd25e911cd86c55893b851005577c51bdf5d26&timestamp=1783046191&nonce=603405742&openid=oVmQa7aN7S0hM2CAiBJZ1rFbfUyQ&encrypt_type=aes&msg_signature=c62f6b2ba3dfd8f748cdde5c5b4f71e68644287d?signature=5fcd25e911cd86c55893b851005577c51bdf5d26&timestamp=1783046191&nonce=603405742&openid=oVmQa7aN7S0hM2CAiBJZ1rFbfUyQ&encrypt_type=aes&msg_signature=c62f6b2ba3dfd8f748cdde5c5b4f71e68644287d,OWASP CRS,3.2,949110,REQUEST-949-BLOCKING-EVALUATION,Inbound Anomaly Score Exceeded (Total Score: 5),Blocked,api-obesity.novocare.com.cn,4c4c3fca93a54d8e9cc0d0e9fe90c6cb,82#_subscriptions_57eb041c-8bf8-487b-a562-f9acffc16752_resourceGroups_RG-NovocareObesity-PRD-Infra-01_providers_Microsoft.Network_ApplicationGatewayWebApplicationFirewallPolicies_WAF-NovocareObesity-PRD-01,Global,Global,Azwaf,Greater and Equal to Tx:inbound_anomaly_score_threshold at TX:anomaly_score.,,REQUEST-949-BLOCKING-EVALUATION.conf,79
2026-07-10T15:31:13.044+08:00,/SUBSCRIPTIONS/88E39F7D-09DC-4B59-9491-B1CBF00279FB/RESOURCEGROUPS/RG-DAP-PRD-INFRA-N3-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-DAP-PRD-N3-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,appgw_0,124.238.251.134,/api/shared/.env,Microsoft_DefaultRuleSet,2.1,949110,BLOCKING-EVALUATION,Inbound Anomaly Score Exceeded (Total Score: 7),Blocked,purview.novonordiskchina.com.cn,1dcf8f7a522846f4bf650c13529d5c51,75#_subscriptions_88e39f7d-09dc-4b59-9491-b1cbf00279fb_resourceGroups_RG-DAP-PRD-Infra-N3-01_providers_Microsoft.Network_ApplicationGatewayWebApplicationFirewallPolicies_WAF-DAP-PRD-N3-01,Global,Global,Azwaf,Greater and Equal to Tx:inbound_anomaly_score_threshold at TX:anomaly_score.,,BLOCKING-EVALUATION.conf,36
2026-07-10T15:31:13.044+08:00,/SUBSCRIPTIONS/57EB041C-8BF8-487B-A562-F9ACFFC16752/RESOURCEGROUPS/RG-NOVOCAREOBESITY-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NOVOCAREOBESITY-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,appgw_1,116.211.128.19,/external/open-api/external/v1/wechatMini/message/wx98f3f60b481fdab7?signature=e6875cafc48b5f297329da1837b58f7746c93095&timestamp=1783043711&nonce=1422143956&openid=oVmQa7WCmEYGjIK5nPS8EEiKUwzc&encrypt_type=aes&msg_signature=5178f112475c563e604d4ccdb1a7976849ec4f5e?signature=e6875cafc48b5f297329da1837b58f7746c93095&timestamp=1783043711&nonce=1422143956&openid=oVmQa7WCmEYGjIK5nPS8EEiKUwzc&encrypt_type=aes&msg_signature=5178f112475c563e604d4ccdb1a7976849ec4f5e,OWASP CRS,3.2,949110,REQUEST-949-BLOCKING-EVALUATION,Inbound Anomaly Score Exceeded (Total Score: 5),Blocked,api-obesity.novocare.com.cn,8dd36acfffca4679a5ede6e5f1a2fe33,82#_subscriptions_57eb041c-8bf8-487b-a562-f9acffc16752_resourceGroups_RG-NovocareObesity-PRD-Infra-01_providers_Microsoft.Network_ApplicationGatewayWebApplicationFirewallPolicies_WAF-NovocareObesity-PRD-01,Global,Global,Azwaf,Greater and Equal to Tx:inbound_anomaly_score_threshold at TX:anomaly_score.,,REQUEST-949-BLOCKING-EVALUATION.conf,79
