timeStamp,resourceId,operationName,category,properties.clientIp,properties.requestUri,properties.action,properties.hostname,properties.message,properties.ruleId,properties.ruleGroup,properties.transactionId
2026-07-09T09:58:57.999+08:00,/SUBSCRIPTIONS/A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7/RESOURCEGROUPS/RG-NCMA-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NCMA-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,36.158.231.55,/laravel/core/.env,Blocked,purview.novonordiskchina.com.cn,Inbound Anomaly Score Exceeded (Total Score: 10),942100,BLOCKING-EVALUATION,db5ba4dad38e4336b4da5a4df3672aa1
2026-07-09T09:58:58.200+08:00,/SUBSCRIPTIONS/A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7/RESOURCEGROUPS/RG-NCMA-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NCMA-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,111.62.149.24,/api/app/shop/hysOrderResultUrlParse,Blocked,purview.novonordiskchina.com.cn,"Access denied with code 403. Pattern match url, at QueryString.",949110,BLOCKING-EVALUATION,6f47c3c88c7244e2843e55dccde1af51
2026-07-09T09:58:58.401+08:00,/SUBSCRIPTIONS/A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7/RESOURCEGROUPS/RG-NCMA-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NCMA-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,124.238.251.133,/laravel/core/.env,Blocked,purview.novonordiskchina.com.cn,Inbound Anomaly Score Exceeded (Total Score: 10),931100,BLOCKING-EVALUATION,d5ff96a3e11740b4acd785b9ee2641ba
2026-07-09T09:58:58.602+08:00,/SUBSCRIPTIONS/A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7/RESOURCEGROUPS/RG-NCMA-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NCMA-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,114.238.251.132,/main/.env,Blocked,purview.novonordiskchina.com.cn,Inbound Anomaly Score Exceeded (Total Score: 10),931100,BLOCKING-EVALUATION,6bac26ef132e4d809fa2fb8a5d2add5c
2026-07-09T09:58:58.802+08:00,/SUBSCRIPTIONS/A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7/RESOURCEGROUPS/RG-NCMA-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NCMA-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,124.238.251.133,/.env~,Blocked,purview.novonordiskchina.com.cn,Inbound Anomaly Score Exceeded (Total Score: 10),949110,BLOCKING-EVALUATION,603b9cbec39043848fb9c1c1ea1b6402
2026-07-09T09:58:59.003+08:00,/SUBSCRIPTIONS/A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7/RESOURCEGROUPS/RG-NCMA-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NCMA-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,36.158.231.55,/.env~,Blocked,purview.novonordiskchina.com.cn,Inbound Anomaly Score Exceeded (Total Score: 7),942100,BLOCKING-EVALUATION,d507c0cf42be46988cdb29a9b11460d8
2026-07-09T09:58:59.203+08:00,/SUBSCRIPTIONS/A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7/RESOURCEGROUPS/RG-NCMA-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NCMA-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,36.158.231.55,/api/app/shop/hysOrderResultUrlParse,Blocked,purview.novonordiskchina.com.cn,Inbound Anomaly Score Exceeded (Total Score: 10),949110,BLOCKING-EVALUATION,727d8796addf4bedb172487d127e17cd
2026-07-09T09:58:59.404+08:00,/SUBSCRIPTIONS/A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7/RESOURCEGROUPS/RG-NCMA-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NCMA-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,36.158.231.55,/www/.env,Blocked,purview.novonordiskchina.com.cn,"Access denied with code 403. Pattern match url, at QueryString.",949110,BLOCKING-EVALUATION,7d6bd3f264754e978ba484ee36ef0bfd
2026-07-09T09:58:59.605+08:00,/SUBSCRIPTIONS/A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7/RESOURCEGROUPS/RG-NCMA-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NCMA-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,124.238.251.133,/new/.env.staging,Blocked,purview.novonordiskchina.com.cn,Inbound Anomaly Score Exceeded (Total Score: 10),931100,BLOCKING-EVALUATION,10eee971369c47a5b99e832d54ee7b50
2026-07-09T09:58:59.805+08:00,/SUBSCRIPTIONS/A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7/RESOURCEGROUPS/RG-NCMA-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NCMA-PRD-01,ApplicationGatewayFirewall,ApplicationGatewayFirewallLog,114.238.251.132,/laravel/core/.env,Blocked,purview.novonordiskchina.com.cn,Inbound Anomaly Score Exceeded (Total Score: 10),931100,BLOCKING-EVALUATION,e73ee0ebffde4a70986dc7c2cd82d11c
